,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Credit-Card,Phone-No,Address
24,25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,S,832-905-7281,-5844606740,5267 900-Houston
25,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,S,526-552-5928,-5006019936,4899 93-Philadelphia
26,27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,C,249-124-8026,-6074185219,9045 900-Houston
27,28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,S,702-444-6183,-9570242849,8677 xt-Chicago
28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,Q,802-848-9895,-9767156148,8476 ab-Los Angeles
29,30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,S,840-307-9989,-9077546952,2590 900-Houston
30,31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,C,168-319-4724,-8624142255,9029 02-New York
31,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,C,559-726-5058,-1062964641,5852 kk-Miami
32,33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,Q,668-572-7813,-8217613093,1899 klt-Phoenix
33,34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,S,985-578-9096,-1927201922,2025 xt-Chicago
34,35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,C,592-769-3074,-8944275617,3471 xt-Chicago
35,36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,S,998-277-4567,-2465067670,1502 ab-Los Angeles
36,37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,C,604-679-9112,-5901048026,3405 klt-Phoenix
37,38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,S,808-151-4018,-3277141058,8804 xt-Chicago
38,39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,S,548-686-1936,-1202996789,1910 xt-Chicago
39,40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,C,913-306-3085,-9294465401,4470 xt-Chicago
40,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,S,740-472-8714,-5703806516,4382 klt-Phoenix
41,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,S,968-772-6410,-2413392550,4302 kk-Miami
42,43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,C,687-461-5988,-3689173200,5954 121-Dallas
43,44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,C,628-321-7904,-5296850445,3400 02-New York
44,45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,Q,682-897-7228,-7630805036,9262 121-Dallas
45,46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,S,902-792-2573,-7880793220,1430 ab-Los Angeles
46,47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,Q,142-681-4224,-3767252397,4288 xt-Chicago
47,48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,Q,579-937-1597,-2735059932,3029 klt-Phoenix
48,49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,C,918-862-4806,-7915227721,4806 02-New York
49,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,S,917-215-2460,-5731255166,1410 93-Philadelphia
50,51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,S,569-909-8492,-5958650161,7142 xt-Chicago
51,52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,S,919-873-5333,-3570075575,7430 kk-Miami
52,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,C,910-464-2923,-7036345123,2864 02-New York
53,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,S,740-206-2799,-6250025653,756 ab-Los Angeles
54,55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,C,651-804-3745,-5529597629,9149 klt-Phoenix
55,56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,S,437-272-3298,-7216852337,4307 klt-Phoenix
56,57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,S,152-660-5814,-9622174357,5307 kk-Miami
57,58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,C,245-345-6950,-1233436213,7243 xt-Chicago
58,59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,S,537-339-8978,-7997983951,7161 klt-Phoenix
59,60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,S,627-892-5349,-1528328930,6565 02-New York
60,61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,C,747-852-4840,-2140927154,7965 ab-Los Angeles
61,62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,,903-110-2957,-1573111203,6660 xt-Chicago
62,63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,S,892-184-5400,-1882566914,7500 02-New York
63,64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,S,546-327-4190,-7662771265,6866 900-Houston
64,65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,C,430-330-4413,-3175454549,5266 02-New York
65,66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,C,136-654-3168,-9458912095,8738 02-New York
66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,S,675-882-4867,-5516971281,1207 121-Dallas
67,68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,S,227-374-6579,-3866162828,2215 klt-Phoenix
68,69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,S,979-202-4108,-2514407703,5843 xt-Chicago
69,70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,S,948-938-3636,-1674915374,4236 klt-Phoenix
70,71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,S,685-978-1817,-4590036039,948 93-Philadelphia
71,72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,S,663-997-9372,-3642818531,6907 93-Philadelphia
72,73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,S,211-577-1337,-7710793948,1599 kk-Miami
73,74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,C,664-317-5468,-8168696087,9485 900-Houston
74,75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,S,463-891-5018,-2113642061,9026 klt-Phoenix
75,76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,S,580-464-4286,-7271892961,9565 klt-Phoenix
76,77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,S,332-628-1772,-8313215343,7953 xt-Chicago
77,78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,S,135-593-9814,-5678834069,6006 93-Philadelphia
78,79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,S,371-249-4086,-6442313750,4723 xt-Chicago
79,80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,S,367-893-9399,-7034834066,9297 93-Philadelphia
80,81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,S,848-918-8871,-9991111321,4642 93-Philadelphia
81,82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,S,460-823-4977,-5276739184,9943 klt-Phoenix
82,83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,Q,977-404-5228,-4361560639,4841 ab-Los Angeles
83,84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,S,167-190-2520,-1176766953,4820 klt-Phoenix
84,85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,S,928-265-4131,-9219067243,5205 121-Dallas
85,86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,S,765-360-7852,-3874316780,1602 02-New York
86,87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,S,988-683-2453,-5729894340,8455 900-Houston
87,88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,S,607-752-1733,-7486318139,5498 02-New York
88,89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,S,525-381-6691,-9672449302,2535 klt-Phoenix
89,90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,S,674-663-4284,-2680604391,4334 121-Dallas
90,91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,S,580-120-3089,-4229194910,1342 02-New York
91,92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,S,740-982-7886,-9242900894,2691 121-Dallas
92,93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,S,159-997-6250,-3736507160,9343 93-Philadelphia
93,94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,S,829-392-7126,-7244720443,9899 ab-Los Angeles
94,95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,S,666-642-8642,-2217659685,5279 ab-Los Angeles
95,96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,S,938-371-2670,-9542947810,3963 ab-Los Angeles
96,97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,C,286-468-2709,-9742131957,3956 kk-Miami
97,98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,C,129-168-1824,-6624332744,2967 900-Houston
98,99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,S,859-399-2558,-5886621535,434 kk-Miami
99,100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,S,141-114-6933,-5678741058,7278 klt-Phoenix
100,101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,S,700-373-3316,-7325208321,5245 kk-Miami
101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,S,898-740-6125,-3154854675,1427 kk-Miami
102,103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,S,896-866-5476,-9855047282,4135 02-New York
103,104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,S,169-183-2091,-1376147369,1367 121-Dallas
104,105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,S,348-940-4350,-8394958310,1870 121-Dallas
105,106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,S,138-245-7061,-1361785239,3695 ab-Los Angeles
106,107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,S,484-436-4264,-5260753712,3473 ab-Los Angeles
107,108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,S,571-750-1331,-1964097783,6098 klt-Phoenix
108,109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,S,361-769-8216,-4722361936,3217 93-Philadelphia
109,110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,Q,132-398-6487,-2400391819,6678 93-Philadelphia
110,111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,S,592-351-9693,-1965340625,366 ab-Los Angeles
111,112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,C,183-512-8461,-4116762126,990 02-New York
112,113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,S,937-452-1118,-9708990730,1229 900-Houston
113,114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,S,751-272-6000,-1188549348,184 900-Houston
114,115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,C,286-705-5231,-9774122645,2224 02-New York
115,116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,S,228-583-8722,-5911376525,4167 ab-Los Angeles
116,117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,Q,363-780-8133,-7310836508,2915 ab-Los Angeles
117,118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,S,191-473-1523,-7053052621,3126 121-Dallas
118,119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,C,924-520-6401,-2095987302,920 ab-Los Angeles
119,120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,S,266-512-1212,-8834794027,2502 ab-Los Angeles
120,121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,S,458-147-7571,-2849356384,8205 900-Houston
121,122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,S,195-288-8670,-7865836929,1905 93-Philadelphia
122,123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,C,919-959-8063,-1971963506,548 93-Philadelphia
123,124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,S,424-585-1764,-7666169778,7563 klt-Phoenix
124,125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,S,197-292-7328,-5233864613,4108 02-New York
125,126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,C,100-409-3848,-1781723504,9531 ab-Los Angeles
126,127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,Q,562-191-8453,-3571488197,9473 klt-Phoenix
127,128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,S,681-911-5654,-2140992450,3156 900-Houston
128,129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,C,147-928-3639,-5284629645,8705 kk-Miami
129,130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,S,835-634-9388,-2711693729,273 93-Philadelphia
130,131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,C,275-133-6349,-9214240560,729 02-New York
131,132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,S,596-591-6274,-5539713250,9663 02-New York
132,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,S,519-149-8090,-2039560753,6135 kk-Miami
133,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,S,915-828-4856,-6669258920,8095 kk-Miami
134,135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,S,956-377-7300,-4900489187,8484 ab-Los Angeles
135,136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,C,232-417-3774,-1381636326,8984 93-Philadelphia
136,137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,S,163-988-8720,-5733811882,1157 121-Dallas
137,138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,S,881-485-8079,-7931057728,6996 xt-Chicago
138,139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,S,163-211-6755,-5705994386,4348 900-Houston
139,140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,C,246-835-4349,-6266955900,3878 02-New York
140,141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,C,893-707-2469,-8035278617,7576 121-Dallas
141,142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,S,442-138-8430,-7008609387,7505 ab-Los Angeles
142,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,S,604-634-6435,-9857786634,2155 ab-Los Angeles
143,144,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,Q,922-520-6677,-8797123953,3857 900-Houston
144,145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,S,520-805-4254,-4697810658,2730 02-New York
145,146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,S,187-279-9728,-3853998176,6532 klt-Phoenix
146,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,S,384-550-6394,-2892364780,2822 02-New York
147,148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,S,417-510-4771,-6283929373,3720 ab-Los Angeles
148,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,S,534-723-3627,-4317369697,4350 02-New York
149,150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,S,920-199-1773,-6781967759,6435 ab-Los Angeles
150,151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,S,992-816-7906,-1745146424,7634 klt-Phoenix
151,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,S,502-968-2688,-1694990195,2881 ab-Los Angeles
152,153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,S,147-347-9426,-9795051802,1235 kk-Miami
153,154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,S,651-896-5354,-6116516626,7280 93-Philadelphia
154,155,0,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,S,405-505-3509,-3569568372,7063 klt-Phoenix
155,156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,C,864-936-3958,-2048238212,7961 ab-Los Angeles
156,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,Q,217-825-6254,-1534022119,1971 900-Houston
157,158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,S,732-975-5506,-4031475674,3385 900-Houston
158,159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,S,449-397-7177,-1466150491,6513 klt-Phoenix
159,160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,S,810-905-4844,-1828678355,8653 kk-Miami
160,161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,S,546-319-4115,-3017653877,223 900-Houston
161,162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,S,162-911-1173,-5092946742,7439 02-New York
162,163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,S,607-383-4246,-3902384194,3432 121-Dallas
163,164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,S,618-970-3428,-3571738020,2368 klt-Phoenix
164,165,0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,S,839-913-6290,-6703933947,1215 121-Dallas
165,166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,S,572-865-2029,-1511509715,5654 klt-Phoenix
166,167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55.0,S,957-485-9541,-4127871183,9780 900-Houston
167,168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,S,426-455-5272,-5927721520,8088 02-New York
168,169,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,S,714-601-1467,-9782788323,6434 ab-Los Angeles
169,170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,S,127-868-8167,-6768236170,3693 xt-Chicago
170,171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,S,724-765-4850,-1102772229,4562 93-Philadelphia
171,172,0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,Q,976-444-9130,-6386972134,9944 900-Houston
172,173,1,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,S,962-224-7379,-4499554902,7743 ab-Los Angeles
173,174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,S,189-865-8641,-7845353840,7516 klt-Phoenix
174,175,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,C,241-162-1131,-7782792207,3686 93-Philadelphia
175,176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,S,676-835-2710,-2890779493,5296 02-New York
176,177,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,S,731-785-7005,-4088662002,9302 900-Houston
177,178,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C,797-535-7130,-2160314088,7087 121-Dallas
178,179,0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,S,388-653-9763,-7297859552,4784 900-Houston
179,180,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,S,237-734-2725,-3993504214,3177 kk-Miami
180,181,0,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,S,840-498-5378,-2250798492,3446 121-Dallas
181,182,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,C,260-960-6557,-2127902361,9813 02-New York
182,183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,S,512-116-4170,-5469930798,7765 900-Houston
183,184,1,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,S,889-584-8107,-8041553044,3023 ab-Los Angeles
184,185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,S,648-230-8183,-7638796775,6153 900-Houston
185,186,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50.0,S,186-164-1830,-6315385521,2599 xt-Chicago
186,187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,Q,391-818-4114,-2015955219,3025 121-Dallas
187,188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,S,160-661-7952,-2070114147,2357 900-Houston
188,189,0,3,"Bourke, Mr. John",male,40.0,1,1,364849,15.5,Q,144-786-4434,-9721844450,7129 93-Philadelphia
189,190,0,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247,7.8958,S,539-210-9610,-8949358472,6039 xt-Chicago
190,191,1,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,S,467-315-6027,-9763687128,560 121-Dallas
191,192,0,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,S,978-248-6514,-7923902476,5095 ab-Los Angeles
192,193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,S,572-115-1605,-7904432668,7987 900-Houston
193,194,1,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,S,647-612-7640,-1073595378,803 121-Dallas
194,195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,C,984-181-4398,-4080265357,3409 02-New York
