StudentID,Name,Phone,Aadhar,Maths,Science,English,Grade,Address,ExtraColumn
1047,Sneha Reddy,1968315601,8740086528,,,5.0,B,,
1093,Amit Reddy,4962339167,868290990746,,,70.0,F,Mumbai,Y
1029,Sara Patel,7449423555,984417363422,,68.0,88.0, C+,Mumbai,
1000,Ali Gupta,39909406,757536735101,74.0,80.0,21.0,D,Delhi,Y
1043,Kiran Gupta,2719018966,7312924743,58.0,49.0,75.0,C,Hyderabad,X
1052,Rohit Reddy,5154791994,8716670379,69.0,75.0,45.0,F,,X
1008,Kiran Patel,96158488,814652488050,23.0,41.0,90.0,,Mumbai,Y
1013,Neha Gupta,9794093039,556551167183,,98.0,13.0,C, ,Z
1068,Amit Sharma,40181373,688047956303,33.0,41.0,29.0, C+,Mumbai,
1023,Sara Sharma,+91-9320118058,673472796066,38.0,,48.0,A,,
1024,Rohit Gupta,+91-0112298868,587515767308,3.0,89.0,72.0,A,,X
1083,Rohit Patel,8860567207,1399273050,,,58.0,B,Delhi,
1087,Sara Gupta,+91-4238255700,234201324045,40.0,0.0,97.0,B,Delhi,Y
1100,Ali Reddy,+91-2070052727,558846797450,,41.0,17.0,D,,Y
1023,Ali Gupta,41055644,2404512374,40.0,44.0,,C,Hyderabad,Z
1041,Amit Khan,6475415263,230012987343,8.0,99.0,92.0,A,Mumbai,X
1048,Rohit Khan,+91-7108468774,279634859059,12.0,55.0,29.0,A,Bangalore,Z
1087,Rohit Khan,8576203833,155347829670,47.0,8.0,1.0,,,Z
1076,Priya Patel,1009201841,370387783592,,42.0,32.0, A ,Delhi,
1075,Murtiza Singh,8191893092,161729396930,,,, C+,Hyderabad,Y
1090,Priya Reddy,9151733007,6733516356,17.0,51.0,8.0,C,,Z
1064,Neha Sharma,1061993343,403116790852,90.0,32.0,35.0,C,Mumbai,Y
1057,Murtiza Singh,+91-8109982704,223915175851,,,56.0, C+, ,X
1063,Sara Singh,5994092583,298156890528,6.0,35.0,48.0,C,Hyderabad,Z
1045,Murtiza Khan,8321261435,825455625780,19.0,48.0,91.0,D,Delhi,X
1084,John Gupta,3225071742,5121122557,47.0,,85.0, A ,,Z
1000,Kiran Patel,+91-9648784003,890462467391,,46.0,94.0,F,Delhi,
1008,Kiran Reddy,4341354996,099718767608,,,68.0, A ,Delhi,Y
1048,Murtiza Patel,33912190,8384652484,63.0,,, A , ,Y
